estimated_population_2019	death_rate
15825	0.1667
40954	0.125
12252023	0.0865
91016	0.0435
88980	0.0625
365798	0.0133
45107	1
125815	0.1818
679378	0.1709
282441	0.0323
297637	0.0861
289664	0.0847
121766	0.0714
314924	0.1143
65524	0.3333
129193	0.16
52597	0.2727
121838	0.1538
78728	0.069
122480	0.25
45919049	0.0859
299127	0.037
51252	0.5
1572866	0.0219
19761	0.0455
407319	0.0551
881935	0.0505
17545	1
15616	1
28635	1
1018948	0.0372
51901	0.125
13264	0.5
24642	1
13176	1
7951	1
25733	1
3337357	0.0463
39565	0.0638
27502	0.3333
19679	0.1429
28294	0.0152
37869	0.0652
85097	0.069
48296	0.0505
101337	0.0792
97377	0.0654
32105	0.0909
2182763	0.0945
55751	0.3333
63905	0.1061
19454	0.25
114273	0.0672
33347	0.0278
39299	0.0323
65844	0.0843
59849	0.0741
16256	0.1429
4144597	0.0809
50410	0.0625
503327	0.0297
27270	0.0476
121364	0.0342
845731	0.0305
17040	1
16970	1
54379	1
23328	0.5
299132	0.025
30662	0.5
54704	0.2
614872	0.0149
7128	0.5
162327	0.0207
45873	0.0588
213223	0.0189
14579	0.1667
8761	1
76147	0.25
216707	0.1111
198440	0.0889
13997	1
2872347	0.0354
20519	0.1905
19178	1
338480	0.1071
14873064	0.0363
14929	0.25
62641	0.037
54270	0.1667
17146	0.1429
43452	0.3333
80271	0.0167
74547	0.0667
10935	1
32591	0.1111
17738	0.5
22547	0.2
18699	1
71743	0.0455
361400	0.0365
75074	0.1667
53618	0.1
19450	1
2669342	0.06
67337	0.0526
13353	1
102498	0.1481
26178	0.3333
38166	0.3333
37980	0.0244
34682	0.1429
59540	0.2
227886	0.0878
128978	0.0735
38737	0.1429
13818	1
43797	0.1667
25703	0.1
83432	0.0444
43258	0.25
20567	0.0909
81082	0.0714
78194	0.0952
16554	1
43703	0.1429
48422	0.0588
13000	0.2
208935	0.0385
18324	1
75946	0.2
19825	0.5
60889	1
9132078	0.0597
3015268	0.0242
3015268	0.0228
30586	0.125
101220	0.0526
381285	0.0298
124859	0.0435
173555	0.0278
11574	0.25
40431	0.2
130611	0.0714
517510	0.061
78239	0.069
493838	0.0307
362097	0.0288
4018650	0.0356
578179	0.069
5600	0.5
70084	0.0714
1516113	0.0306
208299	0.2308
10988	0.3333
31458	0.25
89918	1
3223	0.1667
235647	0.0667
168468	0.0909
7018354	0.0408
8128	1
26803	0.1429
29848	0.3333
104949	0.0345
9431	0.2
32695	0.2
12908	0.5
258682	0.0354
50266	0.3333
14962	0.5
122197	0.0682
30761	0.1818
177687	0.0479
1101884	0.0633
51714	0.1429
7075181	0.0592
117267	0.1429
106229	0.3333
3429	1
2512070	0.0246
7715	1
6868	1
8632	1
75123	0.3333
10350	1
663855	0.04
238230	0.0167
31617	1
36225	0.0455
279885	0.2
4221	1
120060	0.125
568873	0.0227
60724	0.0625
15416	0.5
409341	0.1111
2462	1
40750	0.5
102693	1
31331	1
33639	0.3333
21083	0.5
152488	0.0714
90757	0.0526
34691	0.5
167397	0.0714
150737	0.0833
3641	1
46487	0.3333
56323	0.2
3962	1
12337	0.5
70956	0.5
7021	0.5
56746	0.1111
333783	0.06
691305	0.0737
135558	0.0667
19320	1
21168791	0.0431
11329	0.3333
895982	0.0156
222949	0.0833
42148	0.5
121388	0.0732
2778986	0.0375
22354	0.5
61012	0.3333
94376	0.1667
612547	0.0079
65534	0.3333
27739	0.1667
232491	0.0526
142996	0.1053
3484466	0.0418
530598	0.0333
124680	0.0667
1492745	0.0536
62737	0.0833
127686	0.1739
102701	0.1111
23767	0.1667
137890	0.1111
37085	0.3333
69027	0.05
200793	0.0299
17929	1
57943	0.4
28935	0.5
279349	0.2
131521	0.0278
52137	0.5
113145	0.1111
208273	0.1034
31082	0.3333
52357	0.5
10128	0.2
70801	0.0244
304589	0.098
31482	0.0625
18050	0.5
13996	1
58986	0.1429
53686	0.04
61403	0.5
8602865	0.0569
96880	0.1053
17804	1
14122	1
67736	0.0909
61993	0.2
409731	0.0444
24670	0.125
809015	0.0665
7150	0.3333
21837	1
6617	0.3333
107605	0.1538
4509	1
136586	0.1639
52625	0.05
15376	0.5
4018127	0.0817
99990	0.0645
24885	1
36771	0.6667
38386	0.3333
22829	0.3333
20524	0.2
74338	0.3077
76439	0.1429
48554	0.5
39184	0.2857
38134	0.5
207048	0.1831
157828	0.0846
19551	1
83641	0.1
361118	0.1304
42892	0.25
13518	0.125
37111	0.6667
15457	0.2
31052	1
139788	0.3
30604	0.3333
79758	0.2381
117019	0.1667
96204	0.1364
13616	1
26651	0.2
16955	0.5
702298	0.1145
21429	0.5
18071	0.2
16290	0.5
56250	0.2857
25376	0.5
16088	0.25
62784	0.0333
32471	0.2
392482	0.0816
63250	0.375
26474	1
56506	0.2059
331774	0.0707
27091	0.1111
6813	1
1645727	0.0693
47415	0.25
60930	0.0909
21298	0.1429
113230	0.1805
35907	0.1667
45865	0.1667
28534	1
10096	1
53022	0.1667
30521	0.5
18482	0.3333
138757	0.1714
9557071	0.0887
5630	1
19781	1
21187	1
11019	1
153078	0.125
38742	0.3333
78222	0.0455
28791	0.2857
6423	1
5346	0.3333
864845	0.0387
3273227	0.0529
134996	0.1333
123027	0.0714
13970	0.1
31367	0.3333
14202	1
132002	0.1111
94859	0.1143
328454	0.0533
82620	0.0526
1933105	0.0399
258532	0.025
33119	0.1538
6581	0.3333
10169	1
31984	0.3333
7013	1
569733	0.13
13502	1
423666	0.0877
154936	0.1429
88374	0.0833
82881	0.0714
132157	0.0476
11123	0.5
7449	0.5
12037	0.1429
3981	0.1429
2641	0.1111
5855	0.0909
10219	0.1667
21016	1
17094	0.5
7257	0.3333
11433957	0.0614
132400	0.0345
30349	0.2
100374	0.1667
184412	0.0385
510906	0.0506
27446	0.2
37096	0.1
226525	0.0968
58937	0.0833
507548	0.0377
919596	0.2018
60517	0.1667
28310	0.2667
240592	0.0909
133019	0.1
104768	0.0417
256672	0.1905
245071	0.0667
44468	0.3333
161207	0.1296
176103	0.0775
25538	0.1429
162485	0.0556
513584	0.0709
190631	0.0667
821128	0.0795
52257	0.0556
43165	0.1667
306191	0.1111
150319	0.0638
131341	0.25
60201	0.1364
150674	0.1842
6718903	0.0821
42205	0.5
1084839	0.1009
